Date,home_team,away_team,result,predicted,confidence,correct
2024-10-26,Man City,Southampton,HomeWin,HomeWin,0.949,True
2023-09-02,Man City,Fulham,HomeWin,HomeWin,0.945,True
2024-02-20,Man City,Brentford,HomeWin,HomeWin,0.941,True
2024-10-05,Arsenal,Southampton,HomeWin,HomeWin,0.936,True
2024-12-26,Liverpool,Leicester,HomeWin,HomeWin,0.934,True
2024-01-31,Man City,Burnley,HomeWin,HomeWin,0.928,True
2026-05-13,Man City,Crystal Palace,HomeWin,HomeWin,0.927,True
2022-11-05,Man City,Fulham,HomeWin,HomeWin,0.926,True
2025-02-16,Liverpool,Wolves,HomeWin,HomeWin,0.926,True
2022-10-08,Man City,Southampton,HomeWin,HomeWin,0.925,True
2024-05-19,Liverpool,Wolves,HomeWin,HomeWin,0.924,True
2022-08-27,Man City,Crystal Palace,HomeWin,HomeWin,0.923,True
2023-08-26,Arsenal,Fulham,Draw,HomeWin,0.92,False
2023-05-03,Man City,West Ham,HomeWin,HomeWin,0.915,True
2023-09-23,Man City,Nott'm Forest,HomeWin,HomeWin,0.907,True
2024-05-19,Arsenal,Everton,HomeWin,HomeWin,0.906,True
2024-09-14,Man City,Brentford,HomeWin,HomeWin,0.904,True
2022-08-31,Man City,Nott'm Forest,HomeWin,HomeWin,0.9,True
2024-05-19,Man City,West Ham,HomeWin,HomeWin,0.899,True
2023-11-04,Man City,Bournemouth,HomeWin,HomeWin,0.898,True
2022-10-22,Man City,Brighton,HomeWin,HomeWin,0.898,True
2024-02-10,Man City,Everton,HomeWin,HomeWin,0.895,True
2024-05-04,Man City,Wolves,HomeWin,HomeWin,0.894,True
2022-08-27,Liverpool,Bournemouth,HomeWin,HomeWin,0.893,True
2024-02-21,Liverpool,Luton,HomeWin,HomeWin,0.893,True
2024-04-04,Liverpool,Sheffield United,HomeWin,HomeWin,0.892,True
2024-04-13,Man City,Luton,HomeWin,HomeWin,0.892,True
2023-10-28,Arsenal,Sheffield United,HomeWin,HomeWin,0.889,True
2022-12-31,Man City,Everton,Draw,HomeWin,0.888,False
2025-04-02,Man City,Leicester,HomeWin,HomeWin,0.883,True
2023-08-12,Arsenal,Nott'm Forest,HomeWin,HomeWin,0.881,True
2024-05-04,Arsenal,Bournemouth,HomeWin,HomeWin,0.881,True
2023-12-30,Man City,Sheffield United,HomeWin,HomeWin,0.881,True
2023-12-16,Man City,Crystal Palace,Draw,HomeWin,0.879,False
2025-03-08,Liverpool,Southampton,HomeWin,HomeWin,0.874,True
2025-12-13,Arsenal,Wolves,HomeWin,HomeWin,0.872,True
2024-04-03,Arsenal,Luton,HomeWin,HomeWin,0.871,True
2025-03-09,Chelsea,Leicester,HomeWin,HomeWin,0.867,True
2024-08-24,Man City,Ipswich,HomeWin,HomeWin,0.867,True
2026-04-22,Burnley,Man City,AwayWin,AwayWin,0.866,True
2024-03-04,Sheffield United,Arsenal,AwayWin,AwayWin,0.864,True
2022-10-30,Arsenal,Nott'm Forest,HomeWin,HomeWin,0.859,True
2022-08-07,West Ham,Man City,AwayWin,AwayWin,0.854,True
2025-12-06,Man City,Sunderland,HomeWin,HomeWin,0.852,True
2024-03-09,Arsenal,Brentford,HomeWin,HomeWin,0.849,True
2025-12-20,Man City,West Ham,HomeWin,HomeWin,0.846,True
2024-03-03,Man City,Man United,HomeWin,HomeWin,0.846,True
2023-05-03,Liverpool,Fulham,HomeWin,HomeWin,0.843,True
2022-11-12,Man City,Brentford,AwayWin,HomeWin,0.843,False
2024-05-14,Tottenham,Man City,AwayWin,AwayWin,0.839,True
2022-10-02,Man City,Man United,HomeWin,HomeWin,0.839,True
2022-08-13,Man City,Bournemouth,HomeWin,HomeWin,0.838,True
2023-10-21,Man City,Brighton,HomeWin,HomeWin,0.832,True
2023-04-30,Fulham,Man City,AwayWin,AwayWin,0.832,True
2022-09-17,Wolves,Man City,AwayWin,AwayWin,0.832,True
2023-04-22,Liverpool,Nott'm Forest,HomeWin,HomeWin,0.83,True
2024-04-03,Man City,Aston Villa,HomeWin,HomeWin,0.827,True
2023-11-05,Luton,Liverpool,Draw,AwayWin,0.827,False
2023-01-22,Man City,Wolves,HomeWin,HomeWin,0.826,True
2022-12-28,Leeds,Man City,AwayWin,AwayWin,0.826,True
2025-01-25,Liverpool,Ipswich,HomeWin,HomeWin,0.825,True
2022-08-13,Arsenal,Leicester,HomeWin,HomeWin,0.825,True
2025-01-04,Man City,West Ham,HomeWin,HomeWin,0.82,True
2025-11-08,Sunderland,Arsenal,Draw,AwayWin,0.82,False
2022-08-06,Fulham,Liverpool,Draw,AwayWin,0.82,False
2026-05-18,Arsenal,Burnley,HomeWin,HomeWin,0.819,True
2024-08-17,Arsenal,Wolves,HomeWin,HomeWin,0.818,True
2023-08-11,Burnley,Man City,AwayWin,AwayWin,0.817,True
2024-10-05,Man City,Fulham,HomeWin,HomeWin,0.817,True
2024-03-30,Tottenham,Luton,HomeWin,HomeWin,0.815,True
2024-12-14,Liverpool,Fulham,Draw,HomeWin,0.815,False
2026-02-07,Arsenal,Sunderland,HomeWin,HomeWin,0.815,True
2024-05-11,Fulham,Man City,AwayWin,AwayWin,0.814,True
2024-09-28,Wolves,Liverpool,AwayWin,AwayWin,0.813,True
2025-04-13,Liverpool,West Ham,HomeWin,HomeWin,0.812,True
2022-12-30,Liverpool,Leicester,HomeWin,HomeWin,0.812,True
2023-09-16,Tottenham,Sheffield United,HomeWin,HomeWin,0.811,True
2023-04-15,Man City,Leicester,HomeWin,HomeWin,0.808,True
2023-03-04,Arsenal,Bournemouth,HomeWin,HomeWin,0.807,True
2023-04-01,Arsenal,Leeds,HomeWin,HomeWin,0.806,True
2024-09-14,Liverpool,Nott'm Forest,AwayWin,HomeWin,0.806,False
2026-02-11,Man City,Fulham,HomeWin,HomeWin,0.804,True
2023-05-06,Man City,Leeds,HomeWin,HomeWin,0.804,True
2023-04-08,Southampton,Man City,AwayWin,AwayWin,0.801,True
2024-04-06,Crystal Palace,Man City,AwayWin,AwayWin,0.799,True
2024-03-31,Liverpool,Brighton,HomeWin,HomeWin,0.796,True
2025-04-27,Liverpool,Tottenham,HomeWin,HomeWin,0.795,True
2026-04-11,Arsenal,Bournemouth,AwayWin,HomeWin,0.791,False
2023-10-28,Wolves,Newcastle,Draw,AwayWin,0.791,False
2024-12-04,Southampton,Chelsea,AwayWin,AwayWin,0.791,True
2023-08-27,Sheffield United,Man City,AwayWin,AwayWin,0.789,True
2023-05-28,Man United,Fulham,HomeWin,HomeWin,0.789,True
2023-05-21,Brighton,Southampton,HomeWin,HomeWin,0.788,True
2026-04-25,Liverpool,Crystal Palace,HomeWin,HomeWin,0.787,True
2024-11-24,Southampton,Liverpool,AwayWin,AwayWin,0.787,True
2023-12-30,Luton,Chelsea,AwayWin,AwayWin,0.786,True
2023-04-21,Arsenal,Southampton,Draw,HomeWin,0.785,False
2022-08-31,Liverpool,Newcastle,HomeWin,HomeWin,0.784,True
2025-12-27,Arsenal,Brighton,HomeWin,HomeWin,0.784,True
2025-04-20,Leicester,Liverpool,AwayWin,AwayWin,0.782,True
2022-11-12,Liverpool,Southampton,HomeWin,HomeWin,0.781,True
2023-03-12,Man United,Southampton,Draw,HomeWin,0.781,False
2024-04-14,Liverpool,Crystal Palace,AwayWin,HomeWin,0.779,False
2026-02-21,Chelsea,Burnley,Draw,HomeWin,0.779,False
2022-08-27,Southampton,Man United,AwayWin,AwayWin,0.778,True
2022-12-27,Man United,Nott'm Forest,HomeWin,HomeWin,0.776,True
2023-01-19,Man City,Tottenham,HomeWin,HomeWin,0.774,True
2025-04-02,Liverpool,Everton,HomeWin,HomeWin,0.774,True
2025-01-18,Brentford,Liverpool,AwayWin,AwayWin,0.774,True
2025-11-08,Chelsea,Wolves,HomeWin,HomeWin,0.772,True
2022-10-22,Nott'm Forest,Liverpool,HomeWin,AwayWin,0.772,False
2025-08-16,Wolves,Man City,AwayWin,AwayWin,0.772,True
2024-02-17,Burnley,Arsenal,AwayWin,AwayWin,0.771,True
2024-04-28,Nott'm Forest,Man City,AwayWin,AwayWin,0.769,True
2023-12-28,Arsenal,West Ham,AwayWin,HomeWin,0.767,False
2025-03-15,Man City,Brighton,Draw,HomeWin,0.767,False
2025-12-30,Arsenal,Aston Villa,HomeWin,HomeWin,0.766,True
2025-09-27,Man City,Burnley,HomeWin,HomeWin,0.766,True
2025-12-04,Man United,West Ham,Draw,HomeWin,0.766,False
2025-02-22,Southampton,Brighton,AwayWin,AwayWin,0.765,True
2026-04-25,Wolves,Tottenham,AwayWin,AwayWin,0.765,True
2025-04-12,Man City,Crystal Palace,HomeWin,HomeWin,0.764,True
2026-01-24,Man City,Wolves,HomeWin,HomeWin,0.763,True
2023-12-16,Chelsea,Sheffield United,HomeWin,HomeWin,0.763,True
