Date,Season,season,home_team,away_team,result,B365H,B365D,B365A,predicted,confidence,correct,odd_apostada,retorno,lucro,saldo_acumulado
2022-08-06,2022/23,2022,Fulham,Liverpool,Draw,11.0,6.0,1.25,AwayWin,0.82,False,1.25,0.0,-1000.0,-1000.0
2022-08-07,2022/23,2022,West Ham,Man City,AwayWin,8.0,5.0,1.36,AwayWin,0.854,True,1.36,1360.0,360.0,-640.0
2022-08-13,2022/23,2022,Man City,Bournemouth,HomeWin,1.06,13.0,29.0,HomeWin,0.838,True,1.06,1060.0,60.0,-580.0
2022-08-13,2022/23,2022,Arsenal,Leicester,HomeWin,1.53,4.33,5.75,HomeWin,0.825,True,1.53,1530.0,530.0,-50.0
2022-08-15,2022/23,2022,Liverpool,Crystal Palace,Draw,1.18,6.75,16.0,HomeWin,0.726,False,1.18,0.0,-1000.0,-1050.0
2022-08-27,2022/23,2022,Arsenal,Fulham,HomeWin,1.3,5.75,9.0,HomeWin,0.702,True,1.3,1300.0,300.0,-750.0
2022-08-27,2022/23,2022,Man City,Crystal Palace,HomeWin,1.18,7.5,13.0,HomeWin,0.923,True,1.18,1180.0,180.0,-570.0
2022-08-27,2022/23,2022,Liverpool,Bournemouth,HomeWin,1.1,10.0,26.0,HomeWin,0.893,True,1.1,1100.0,100.0,-470.0
2022-08-27,2022/23,2022,Southampton,Man United,AwayWin,4.2,4.0,1.8,AwayWin,0.778,True,1.8,1800.0,800.0,330.0
2022-08-31,2022/23,2022,Liverpool,Newcastle,HomeWin,1.33,5.25,9.0,HomeWin,0.784,True,1.33,1330.0,330.0,660.0
2022-08-31,2022/23,2022,Man City,Nott'm Forest,HomeWin,1.06,13.0,29.0,HomeWin,0.9,True,1.06,1060.0,60.0,720.0
2022-08-31,2022/23,2022,Bournemouth,Wolves,Draw,3.5,3.3,2.15,AwayWin,0.705,False,2.15,0.0,-1000.0,-280.0
2022-09-03,2022/23,2022,Tottenham,Fulham,HomeWin,1.5,4.5,6.5,HomeWin,0.731,True,1.5,1500.0,500.0,220.0
2022-09-17,2022/23,2022,Tottenham,Leicester,HomeWin,1.45,4.5,7.0,HomeWin,0.758,True,1.45,1450.0,450.0,670.0
2022-09-17,2022/23,2022,Wolves,Man City,AwayWin,9.5,5.0,1.33,AwayWin,0.832,True,1.33,1330.0,330.0,1000.0
2022-10-02,2022/23,2022,Man City,Man United,HomeWin,1.33,5.75,7.5,HomeWin,0.839,True,1.33,1330.0,330.0,1330.0
2022-10-08,2022/23,2022,Man City,Southampton,HomeWin,1.11,10.0,17.0,HomeWin,0.925,True,1.11,1110.0,110.0,1440.0
2022-10-15,2022/23,2022,Tottenham,Everton,HomeWin,1.5,4.5,6.5,HomeWin,0.751,True,1.5,1500.0,500.0,1940.0
2022-10-16,2022/23,2022,Liverpool,Man City,HomeWin,3.6,4.0,1.9,AwayWin,0.745,False,1.9,0.0,-1000.0,940.0
2022-10-19,2022/23,2022,Liverpool,West Ham,HomeWin,1.4,5.0,7.0,HomeWin,0.744,True,1.4,1400.0,400.0,1340.0
2022-10-22,2022/23,2022,Man City,Brighton,HomeWin,1.2,7.0,13.0,HomeWin,0.898,True,1.2,1200.0,200.0,1540.0
2022-10-22,2022/23,2022,Nott'm Forest,Liverpool,HomeWin,11.0,6.0,1.25,AwayWin,0.772,False,1.25,0.0,-1000.0,540.0
2022-10-23,2022/23,2022,Southampton,Arsenal,Draw,6.0,4.0,1.57,AwayWin,0.732,False,1.57,0.0,-1000.0,-460.0
2022-10-29,2022/23,2022,Leicester,Man City,AwayWin,10.0,6.5,1.25,AwayWin,0.733,True,1.25,1250.0,250.0,-210.0
2022-10-29,2022/23,2022,Liverpool,Leeds,AwayWin,1.3,6.0,9.0,HomeWin,0.732,False,1.3,0.0,-1000.0,-1210.0
2022-10-30,2022/23,2022,Arsenal,Nott'm Forest,HomeWin,1.2,7.0,12.0,HomeWin,0.859,True,1.2,1200.0,200.0,-1010.0
2022-11-05,2022/23,2022,Man City,Fulham,HomeWin,1.11,9.5,19.0,HomeWin,0.926,True,1.11,1110.0,110.0,-900.0
2022-11-12,2022/23,2022,Man City,Brentford,AwayWin,1.14,8.0,17.0,HomeWin,0.843,False,1.14,0.0,-1000.0,-1900.0
2022-11-12,2022/23,2022,Liverpool,Southampton,HomeWin,1.25,6.5,11.0,HomeWin,0.781,True,1.25,1250.0,250.0,-1650.0
